scraped_at,sldc_ts,frequency,escom,biomass_mw,cogen_mw,minihydro_mw,wind_mw,solar_mw,grid_drawal_mw,total_mw
2026-05-07T01:28:57,07/05/2026 01:20:01,49.97,MESCOM,0.0,0.0,29.0,0.0,0.0,29.0,29.0
2026-05-07T01:28:57,07/05/2026 01:20:01,49.97,CESC,1.0,0.0,18.0,48.0,0.0,68.0,67.0
2026-05-07T01:28:57,07/05/2026 01:20:01,49.97,GESCOM,1.0,15.0,2.0,377.0,19.0,398.0,414.0
2026-05-07T01:28:57,07/05/2026 01:20:01,49.97,HESCOM,0.0,134.0,0.0,390.0,39.0,525.0,563.0
2026-05-07T01:28:57,07/05/2026 01:20:01,49.97,PAVAGADA SOLAR PARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-07T01:28:57,07/05/2026 01:20:01,49.97,TOTAL_IPPS,8.0,153.0,52.0,889.0,0.0,1108.0,1102.0
2026-05-07T01:30:55,07/05/2026 01:25:01,50.02,BESCOM,6.0,0.0,4.0,81.0,25.0,91.0,116.0
2026-05-07T01:30:55,07/05/2026 01:25:01,50.02,MESCOM,0.0,0.0,29.0,0.0,0.0,30.0,29.0
2026-05-07T01:30:55,07/05/2026 01:25:01,50.02,CESC,1.0,0.0,15.0,45.0,0.0,62.0,61.0
2026-05-07T01:30:55,07/05/2026 01:25:01,50.02,GESCOM,1.0,17.0,1.0,337.0,19.0,358.0,375.0
2026-05-07T01:30:55,07/05/2026 01:25:01,50.02,HESCOM,0.0,139.0,0.0,422.0,39.0,561.0,600.0
2026-05-07T01:30:55,07/05/2026 01:25:01,50.02,PAVAGADA SOLAR PARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-07T01:30:55,07/05/2026 01:25:01,50.02,TOTAL_IPPS,8.0,157.0,50.0,887.0,0.0,1109.0,1102.0
2026-05-07T01:41:00,07/05/2026 01:35:01,50.01,BESCOM,5.0,0.0,3.0,91.0,25.0,100.0,124.0
2026-05-07T01:41:00,07/05/2026 01:35:01,50.01,MESCOM,0.0,0.0,29.0,0.0,0.0,29.0,29.0
2026-05-07T01:41:00,07/05/2026 01:35:01,50.01,CESC,1.0,0.0,14.0,43.0,0.0,60.0,58.0
2026-05-07T01:41:00,07/05/2026 01:35:01,50.01,GESCOM,1.0,7.0,1.0,256.0,19.0,267.0,284.0
2026-05-07T01:41:00,07/05/2026 01:35:01,50.01,HESCOM,0.0,134.0,0.0,414.0,39.0,550.0,587.0
2026-05-07T01:41:00,07/05/2026 01:35:01,50.01,PAVAGADA SOLAR PARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-07T01:41:00,07/05/2026 01:35:01,50.01,TOTAL_IPPS,8.0,144.0,49.0,802.0,0.0,1010.0,1003.0
2026-05-07T01:51:03,07/05/2026 01:45:01,50.0,BESCOM,5.0,0.0,3.0,91.0,25.0,100.0,124.0
2026-05-07T01:51:03,07/05/2026 01:45:01,50.0,MESCOM,0.0,0.0,29.0,1.0,0.0,31.0,30.0
2026-05-07T01:51:03,07/05/2026 01:45:01,50.0,CESC,1.0,0.0,14.0,45.0,0.0,62.0,60.0
2026-05-07T01:51:03,07/05/2026 01:45:01,50.0,GESCOM,1.0,15.0,0.0,207.0,19.0,224.0,242.0
2026-05-07T01:51:03,07/05/2026 01:45:01,50.0,HESCOM,0.0,134.0,0.0,391.0,39.0,526.0,564.0
2026-05-07T01:51:03,07/05/2026 01:45:01,50.0,PAVAGADA SOLAR PARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-07T01:51:03,07/05/2026 01:45:01,50.0,TOTAL_IPPS,8.0,151.0,51.0,738.0,0.0,954.0,948.0
2026-05-07T02:01:05,07/05/2026 01:55:01,50.01,BESCOM,6.0,0.0,4.0,89.0,25.0,99.0,124.0
2026-05-07T02:01:05,07/05/2026 01:55:01,50.01,MESCOM,0.0,0.0,29.0,0.0,0.0,29.0,29.0
2026-05-07T02:01:05,07/05/2026 01:55:01,50.01,CESC,1.0,0.0,16.0,41.0,0.0,59.0,58.0
2026-05-07T02:01:05,07/05/2026 01:55:01,50.01,GESCOM,1.0,9.0,2.0,160.0,19.0,172.0,191.0
